"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q2.2","demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_experience","demo_ai_know","ml_dl_famil","aware_dom","ai_courses","aware_everyday","used_ai","att_pos_1","att_pos_2","att_pos_3","att_pos_4","att_neg_1","att_neg_2","att_neg_3","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","G_awareness","G_efficacy_Q1","G_efficacy_Q2","D_discussion","C_thoughts","Q228","Q216_1","Q216_2","Q216_3","Q216_4","Q216_5","Q216_6","Q216_7","Q216_8","Q216_9","Q217","Q218","Q219","Q221_1","Q221_2","Q221_3","Q221_4","Q221_5","Q221_6","Q505","country","Q225","Q226","T_privacy","T_awareness","T_impact","T_transparency","T_informed","T_benefits","T_concept","T_explanations","Q137","Q139...385","Q140...386","Q141...387","Q142...388","Q142_4_TEXT","Q5.2","Q168","Q6.2","Q169","Q230","Q10.2","Q10.3","Q10.4","Q10.5","Q10.6","Q10.7","X10.8","Q10.9","msc_ai_t"
"2023-10-06 03:04:45","2023-10-06 03:15:43","IP Address","100","657","True","2023-10-06 03:15:44","R_qDwf5mMAay8B97j","qr","EN","I consent","Educator","Male","55-64","Tourism","Year 1,Year 4 (or more)","20 + years","Somewhat good","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Some questions suggest issues… lije the bias one.","E-Tourism","Very important","Very important","Moderately important","Very important","Very important","","Very important","","Not at all important","","","","","","","","","","","","About half the time","Between 9 and 10","Agree","Strongly agree","Strongly agree","Neutral","Neutral","Agree","Strongly agree","Neutral","","","","","","","","","","","","Yes","Slightly familiar","Very useful","Weekly Once","Neither agree nor disagree","Somewhat better","Neither likely nor unlikely","Maybe","I don’t have an opinion yet."
"2023-10-06 03:35:01","2023-10-06 03:41:51","IP Address","100","409","True","2023-10-06 03:41:52","R_D8gPNhwLPduCb8l","anonymous","EN","I consent","Supporting Staff","Female","35-44","Tourism","","10 - 20 years","Neither good nor bad","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neutral","Disagree","Neutral","Agree","","I am a teacher","Very important","Very important","Very important","Very important","Moderately important","Slightly important","Very important","Not at all important","Not at all important","","","","Very important","Moderately important","Moderately important","Very important","Very important","Very important","","","Sometimes","","Neutral","Neutral","Agree","Agree","Agree","Strongly agree","Neutral","Agree","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-09 05:42:47","2023-10-09 06:12:33","IP Address","100","1786","True","2023-10-09 06:12:34","R_1goI7Nqb9uP3blM","qr","EN","I consent","Supporting Staff","Female","45-54","Tourism","","2 - 5 years","Extremely bad","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","","Somewhat agree","Somewhat agree","Neither agree nor disagree","","","","Strongly Agree","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Never","","","","","","","","","","No","","No","Yes","Dining Halls/Cafeterias,Other","meeting rooms","Yes","Weekly Once","","","","","","","","","","","","I would seriously consider enrollment."
"2023-10-09 11:22:47","2023-10-09 11:37:48","IP Address","100","900","True","2023-10-09 11:37:49","R_21ujp43vxyA6lCU","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","2 - 5 years","Neither good nor bad","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neutral","Neutral","","","Tourism Business","","","","","","","","","","","","Somewhat agree","","","","","","","","","Sometimes","Between 6 and 7","","","","","","","","","Yes","Daily Twice or more","No","Yes","Entrances and Exits","","Yes","Monthly Once","","","","","","","","","","","","I would most likely not consider enrollment."
"2023-10-11 02:10:17","2023-10-11 02:14:28","IP Address","100","250","True","2023-10-11 02:14:28","R_a4erbUWv1Lguqpr","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Extremely good","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","About half the time","Between 8 and 9","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Disagree","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-11 02:10:07","2023-10-11 02:15:13","IP Address","100","305","True","2023-10-11 02:15:14","R_u484RG6A40P7EVr","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Somewhat good","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","About half the time","Between 6 and 7","","","","","","","","","No","","Yes","Yes","Other","That one classroom in horizon north","Yes","Daily Once","","","","","","","","","","","","I would seriously consider enrollment."
"2023-10-11 02:15:36","2023-10-11 02:29:02","IP Address","100","805","True","2023-10-11 02:29:03","R_1IYnXlzoTenOE9K","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","6 - 12 months","Neither good nor bad","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 7 and 8","Agree","Strongly agree","Neutral","Strongly agree","Agree","Agree","Neutral","Agree","","","","","","","","","","","1-5","","","","","","","","","I would most likely not consider enrollment."
"2023-10-11 02:28:07","2023-10-11 02:32:41","IP Address","100","273","True","2023-10-11 02:32:42","R_beeTR1CAclsjWxj","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Somewhat good","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","","","","Agree","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","About half the time","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-11 02:39:15","2023-10-11 02:48:31","IP Address","100","556","True","2023-10-11 02:48:32","R_3iU4i968b0ue7sa","qr","EN","I consent","","","55-64","Tourism","Year 2,Year 4 (or more)","20 + years","Somewhat bad","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","","","","Agree",".","I am a teacher","Moderately important","Moderately important","Moderately important","Moderately important","Very important","Moderately important","Not at all important","Not at all important","Not at all important","","","","Very important","Slightly important","Very important","Very important","Moderately important","Moderately important","","","Sometimes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-11 02:46:37","2023-10-11 02:50:49","IP Address","100","252","True","2023-10-11 02:50:50","R_3CVNOU7kZIIYMrs","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","2 - 5 years","Somewhat bad","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","","","","","","Tourism Business","","","","","","","","","","","","Somewhat agree","","","","","","","","","Sometimes","Between 6 and 7","Agree","Agree","Slightly disagree","Strongly agree","Agree","Agree","Neutral","Agree","","","","","","","","","","","5-10","","","","","","","","","I definitely wouldn’t be interested."
"2023-10-11 03:06:23","2023-10-11 03:21:19","IP Address","100","895","True","2023-10-11 03:21:20","R_1mjWs0Ib3s7lRdV","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Neither good nor bad","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","","","","Neutral","","","","","","","","","","","","","","","","","","","","","","","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","1-5","","","","","","","","","I would seriously consider enrollment."
"2023-10-11 04:06:30","2023-10-11 04:42:19","IP Address","100","2148","True","2023-10-11 04:42:20","R_2YmHlusTK5vuMSZ","qr","EN","I consent","Student","Male","25-34","Tourism","Year 4 (or more)","2 - 5 years","Somewhat good","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Agree","Neutral","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","1-5","","","","","","","","","I don’t have an opinion yet."
"2023-10-11 04:45:53","2023-10-11 04:54:07","IP Address","100","493","True","2023-10-11 04:54:08","R_xGcdu4gcU5DiV1v","qr","EN","I consent","Student","Male","25-34","Tourism","Year 4 (or more)","5 - 10 years","Neither good nor bad","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","","","","","","Tourist Experience","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Slightly important","Longer than 3 months","","Sometimes","Under 6","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","","","","","","","","","","","No","Slightly familiar","Moderately useful","Weekly Once","Somewhat agree","Somewhat better","Somewhat likely","Yes","I don’t have an opinion yet."
"2023-10-11 05:12:03","2023-10-11 05:15:03","IP Address","100","179","True","2023-10-11 05:15:04","R_tERDuwWqyMWiOhb","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","2 - 5 years","Neither good nor bad","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Disagree","Neutral","Strongly Disagree","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Germany","About half the time","Between 7 and 8","","","","","","","","","","","","","","","","","","","1-5","","","","","","","","","I would definitely enroll for it."
"2023-10-11 05:21:07","2023-10-11 05:30:50","IP Address","100","582","True","2023-10-11 05:30:51","R_eCJWjb4m6dpcYqR","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Neither good nor bad","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","","Strongly Agree","no","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 7 and 8","","","","","","","","","","","","","","","","","","","1-5","","","","","","","","","I definitely wouldn’t be interested."
"2023-10-11 05:35:05","2023-10-11 05:53:23","IP Address","100","1097","True","2023-10-11 05:53:24","R_TjDfUsFoN8jrwCR","qr","EN","I consent","Student","Male","18-24","Tourism","Year 3","1 - 2 years","Somewhat good","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Germany","Sometimes","Between 8 and 9","Disagree","Strongly disagree","Slightly disagree","Agree","Agree","Agree","Agree","Agree","","","","","","","","","","","","","","","","","","","","I definitely wouldn’t be interested."
"2023-10-11 08:18:31","2023-10-11 08:24:17","IP Address","100","345","True","2023-10-11 08:24:18","R_22nmI71ojjSTqu7","anonymous","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Romania","Never","Between 9 and 10","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","","","","","","","","","Yes","Weekly Twice or more","","","","","","","","","","I would most likely not consider enrollment."
"2023-10-11 09:49:34","2023-10-11 09:56:35","IP Address","100","421","True","2023-10-11 09:56:36","R_23TDy3J3NpIAHqo","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","0 - 6 months","Neither good nor bad","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","","","","Agree","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Italy","Sometimes","Between 7 and 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","I would seriously consider enrollment."
"2023-10-09 04:50:33","2023-10-09 04:51:39","IP Address","6","65","False","2023-10-16 04:50:35","R_1i4IQWYcrMZwzRZ","qr","EN","I consent","Educator","Female","55-64","Tourism","Year 1,Year 2,Year 3,Year 4 (or more)","20 + years","Neither good nor bad","","","","","","","","","","","","","","","","","","","","","","","","E-Tourism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-11 02:14:21","2023-10-11 02:16:36","IP Address","10","134","False","2023-10-18 02:14:23","R_yWJ78KBkHWfkNkl","qr","EN","I consent","Student","Female","18-24","Tourism","Master Student","5 - 10 years","Extremely bad","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","","Strongly agree","","","","","","","","","","","","","","Tourism Design & Development","","","","","","","","","","Yes","Yes","","","","","","","","","","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-11 02:15:41","2023-10-11 02:38:49","IP Address","6","1388","False","2023-10-18 02:15:42","R_tMabGChLawTBSKZ","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","2 - 5 years","Neither good nor bad","","","","","","","","","","","","","","","","","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-11 02:52:28","2023-10-11 02:58:26","IP Address","10","357","False","2023-10-18 02:52:52","R_232DXzWAFAStaxI","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Neither good nor bad","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","About half the time","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-11 03:01:22","2023-10-11 03:04:28","IP Address","10","186","False","2023-10-18 03:01:51","R_WuJpTRwBOUz1DvX","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Somewhat bad","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 7 and 8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-11 03:01:16","2023-10-11 03:04:14","IP Address","12","178","False","2023-10-18 03:07:08","R_3fT8VHRoFDFMwd0","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Somewhat bad","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Never","Between 7 and 8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
