"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q2.2","demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_experience","demo_ai_know","ml_dl_famil","aware_dom","ai_courses","aware_everyday","used_ai","att_pos_1","att_pos_2","att_pos_3","att_pos_4","att_neg_1","att_neg_2","att_neg_3","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","G_awareness","G_efficacy_Q1","G_efficacy_Q2","D_discussion","C_thoughts","Q228","Q216_1","Q216_2","Q216_3","Q216_4","Q216_5","Q216_6","Q216_7","Q216_8","Q216_9","Q217","Q218","Q219","Q221_1","Q221_2","Q221_3","Q221_4","Q221_5","Q221_6","Q505","country","Q225","Q226","T_privacy","T_awareness","T_impact","T_transparency","T_informed","T_benefits","T_concept","T_explanations","Q137","Q139...385","Q140...386","Q141...387","Q142...388","Q142_4_TEXT","Q5.2","Q168","Q6.2","Q169","Q230","Q10.2","Q10.3","Q10.4","Q10.5","Q10.6","Q10.7","X10.8","Q10.9","msc_ai_t"
"2023-10-11 08:31:54","2023-10-11 08:34:15","IP Address","12","140","False","2023-10-18 08:31:55","R_ROJ6URbgH1r6BQR","anonymous","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Never","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-11 10:07:08","2023-10-11 10:09:01","IP Address","8","112","False","2023-10-18 10:07:09","R_UlJpTwLBIzaHSSJ","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","","","","","","","","","","","","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 7 and 8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-13 04:15:39","2023-10-13 04:16:33","IP Address","7","53","False","2023-10-20 04:15:40","R_1fmiZ09fbfCKlDG","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","2 - 5 years","Neither good nor bad","","","","","","","","","","","","","","","","","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Slovakia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-23 04:03:25","2023-10-23 04:15:52","IP Address","100","746","True","2023-10-23 04:15:53","R_9tOBkjjAHw2msN3","qr","EN","I consent","Student","Male","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Viet Nam","Sometimes","Between 6 and 7","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","","","","","","","","","","","","No","Slightly familiar","Moderately useful","Weekly Once","Strongly disagree","About the same","Somewhat likely","No","I definitely wouldn’t be interested."
"2023-10-23 04:23:48","2023-10-23 04:26:55","IP Address","100","187","True","2023-10-23 04:26:55","R_yI3NmPxWK957bR7","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neutral","Disagree","Agree","","","Tourism Business","","","","","","","","","","","","Neither agree nor disagree","","","","","","","","","Most of the time","Between 6 and 7","","","","","","","","","","","","","","","","","","","5-10","","","","","","","","","I would seriously consider enrollment."
"2023-10-23 04:23:32","2023-10-23 04:29:45","IP Address","100","373","True","2023-10-23 04:29:46","R_3r0OxsghEyjwjOK","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Somewhat bad","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","","","","Disagree","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 7 and 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-23 05:28:58","2023-10-23 05:31:58","IP Address","100","180","True","2023-10-23 05:31:59","R_2U6nRVUv0vPigxc","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","0 - 6 months","Neither good nor bad","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","","Neutral","yes","Tourist Experience","","","","","","","","","","","","","Moderately important","Moderately important","Very important","Moderately important","","Moderately important","Around 2 weeks","","Most of the time","Between 8 and 9","","","","","","","","","No","","Yes","Yes","Library","","Yes","Monthly Once","","","","","","","","","","","","I would most likely not consider enrollment."
"2023-10-23 05:59:06","2023-10-23 06:03:26","IP Address","100","259","True","2023-10-23 06:03:27","R_22DeGry6c5E8Grj","qr","EN","I consent","Student","Male","18-24","Tourism","Year 1","0 - 6 months","Somewhat bad","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly Agree","Agree","Agree","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Most of the time","Between 6 and 7","","","","","","","","","","","","","","","","","Yes","Daily Once","","","","","","","","","","I would definitely enroll for it."
"2023-10-23 06:35:27","2023-10-23 06:40:09","IP Address","100","281","True","2023-10-23 06:40:09","R_2c2x8TcoDJvbILa","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","","","","","","","","","","","","","","","","","","","","I would seriously consider enrollment."
"2023-10-23 06:35:39","2023-10-23 06:40:34","IP Address","100","294","True","2023-10-23 06:40:34","R_2vcvufhmxwOjthf","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","","Strongly Agree","Agree","Agree","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","Yes","Weekly Once","","","","","","","","","","I don’t have an opinion yet."
"2023-10-24 01:30:29","2023-10-24 01:33:53","IP Address","100","204","True","2023-10-24 01:33:53","R_6E9Uds09lQJWhZT","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Somewhat good","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","","","","Disagree","Nee","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-24 01:29:33","2023-10-24 01:34:34","IP Address","100","300","True","2023-10-24 01:34:35","R_1K832BQ7I3ZpNeh","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Somewhat good","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","Disagree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","","","","","","","","","No","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-24 02:19:50","2023-10-24 02:27:27","IP Address","100","456","True","2023-10-24 02:27:28","R_3jTf31KENu9qVOx","qr","EN","I consent","Student","Female","25-34","Tourism","Year 4 (or more)","2 - 5 years","Neither good nor bad","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","","","","","","Tourism Design & Development","","","","","","","","","","Yes","Yes","","","","","","","","","","Sometimes","Between 6 and 7","Neutral","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","","","","","","","","","","","1-5","","","","","","","","","I would most likely not consider enrollment."
"2023-10-24 02:44:29","2023-10-24 02:49:49","IP Address","100","319","True","2023-10-24 02:49:50","R_3nCV7yLUve9Kg1C","qr","EN","I consent","Student","Female","18-24","Tourism","Master Student","0 - 6 months","Neither good nor bad","Strongly disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","","","Tourist Experience","","","","","","","","","","","","","Very important","Extremely important","Moderately important","Very important","Extremely important","","3-5 days","","Sometimes","Between 7 and 8","","","","","","","","","","","","","","","","","No","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-24 03:55:06","2023-10-24 04:00:29","IP Address","100","322","True","2023-10-24 04:00:30","R_1jNvMsBRySgp9M4","anonymous","EN","I consent","Supporting Staff","Female","35-44","Tourism","","5 - 10 years","Somewhat bad","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","","","","Agree","I'm a timetable planner. The software for timetables is not sufficiently developed yet for automatic timetables. I'm curious how this will be in 10 or 15 years time.","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Never","","","","","","","","","","","","","","","","","","No","","","","","","","","","","","I definitely wouldn’t be interested."
"2023-10-24 04:24:15","2023-10-24 04:38:44","IP Address","100","869","True","2023-10-24 04:38:45","R_9zSEBtEzXzXskDf","anonymous","EN","I consent","Educator","Male","55-64","Tourism","Year 4 (or more)","20 + years","Somewhat good","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","","","","Agree","","I am a teacher","Very important","Very important","Extremely important","Very important","Moderately important","Slightly important","Extremely important","Not at all important","Not at all important","","","","Very important","Moderately important","Moderately important","Very important","Very important","Very important","","","Sometimes","","","","","","","","","","","","","","","","","","","","1-5","","","","","","","","","I would most likely not consider enrollment."
"2023-10-25 00:35:57","2023-10-25 00:42:48","IP Address","100","411","True","2023-10-25 00:42:49","R_3NOO02diwYvUrx4","qr","EN","I consent","Student","Male","18-24","Tourism","Year 3","1 - 2 years","Somewhat good","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Germany","About half the time","Between 8 and 9","Neutral","Slightly disagree","Agree","Agree","Agree","Neutral","Disagree","Strongly agree","Yes","Weekly Once","Yes","Yes","Entrances and Exits","","Yes","Weekly Twice or more","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-25 03:09:44","2023-10-25 03:16:33","IP Address","100","408","True","2023-10-25 03:16:33","R_2qjTz8R0UrqqLXJ","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","2 - 5 years","Neither good nor bad","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Neutral","Disagree","","","Tourism Design & Development","","","","","","","","","","Yes","I don't know","","","","","","","","","","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-25 03:09:48","2023-10-25 03:16:41","IP Address","100","413","True","2023-10-25 03:16:42","R_2zdVNGgwfBqP1nT","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","2 - 5 years","Neither good nor bad","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","","","","E-Tourism","Moderately important","Very important","Very important","Very important","Extremely important","Very important","Very important","Slightly important","Moderately important","","","","","","","","","","","","Sometimes","Between 7 and 8","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Yes","Daily Twice or more","No","Yes","Entrances and Exits","","Yes","Weekly Twice or more","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-25 03:11:58","2023-10-25 03:19:46","IP Address","100","468","True","2023-10-25 03:19:47","R_2TvLUAfTHkPrMd8","qr","EN","I consent","Student","Male","18-24","Tourism","Year 4 (or more)","2 - 5 years","Extremely good","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","Neutral","","E-Tourism","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","","","","","","","","","","","","Never","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-25 03:09:53","2023-10-25 03:21:31","IP Address","100","697","True","2023-10-25 03:21:32","R_269ggVumsdqh9LV","qr","EN","I consent","Student","Female","18-24","Tourism","Year 4 (or more)","2 - 5 years","Somewhat good","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","","","","Neutral","","Tourism Business","","","","","","","","","","","","Somewhat agree","","","","","","","","","Most of the time","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-26 02:57:33","2023-10-26 03:13:20","IP Address","100","946","True","2023-10-26 03:13:20","R_1rB4UU7oJKpypuQ","anonymous","EN","I consent","Educator","Female","> 65","Tourism","Year 1,Year 2,Year 3,Year 4 (or more)","20 + years","Somewhat good","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","","","I am a teacher","Moderately important","Very important","Very important","Very important","Very important","Very important","Very important","Moderately important","Very important","","","","Very important","Very important","Very important","Very important","Very important","Moderately important","","","About half the time","Between 7 and 8","","","","","","","","","Yes","Daily Once","No","Yes","Entrances and Exits","","Yes","Weekly Twice or more","","","","","","","","","","","","I don’t have an opinion yet."
"2023-10-26 06:53:11","2023-10-26 07:00:36","IP Address","100","445","True","2023-10-26 07:00:37","R_1eOTgFPF8ALFmwR","qr","EN","I consent","Student","Male","18-24","Tourism","Year 4 (or more)","2 - 5 years","Extremely good","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","","","Tourism Business","","","","","","","","","","","","Somewhat disagree","","","","","","","","","Always","Between 7 and 8","","","","","","","","","","","","","","","","","","","1-5","","","","","","","","","I would seriously consider enrollment."
"2023-10-23 06:13:35","2023-10-23 06:15:16","IP Address","8","100","False","2023-10-30 06:13:44","R_25Sp09wlYEFWLDZ","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Neither good nor bad","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","","","","","","","","","","","","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Greece","About half the time","Between 7 and 8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-23 06:35:32","2023-10-23 06:37:00","IP Address","7","87","False","2023-10-30 06:35:34","R_tJScjGIcP4bhiwh","qr","EN","I consent","Student","Female","18-24","Tourism","Year 1","0 - 6 months","Somewhat bad","","","","","","","","","","","","","","","","","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-24 04:24:20","2023-10-24 04:28:47","IP Address","9","266","False","2023-10-31 04:24:24","R_3NVUcTH6FLvO6Zt","qr","EN","I consent","Student","Male","18-24","Tourism","Year 1","0 - 6 months","Somewhat bad","Strongly disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","","","","","","","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Never","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-10-24 04:57:42","2023-10-24 05:00:55","IP Address","12","192","False","2023-10-31 04:57:45","R_3Po8J5wTtD1l7U9","qr","EN","I consent","Student","Female","18-24","Tourism","Year 2","1 - 2 years","Somewhat good","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","I have not yet specialized","","","","","","","","","","","","","","","","","","","","Netherlands","Sometimes","Between 6 and 7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
